SPORT, DATE, COMP, BET-TYPE, MATCH-UP, BET, ODDS, STAKE, BOOK, RESULT, +/-
Soccer, 01/11 23:00, COST1, Live, 16′ Limon – Santos Guapiles (0-0), over 2.25, 1.83, 20, bet365, 1-1, -10,
Soccer, 04/11 05:00, MEX1, Pre-Match, Tijuana – Leon, 1, 2.37, 20, bet365, 2-1, +27.4,
Soccer, 04/11 21:30, URU1, Pre-Match, Liverpool – Nacional 0.5:0, 2 asian, 1.89, 30, pinnacle, 1-4, +26.7,
Soccer, 04/11 23:00, ECU2, Live, 83′ Imbabura – LDU Loja (0-1), over 1.5, 3.25, 15, bet365, 0-1, -15,
Soccer, 04/11 23:00, CHI2, Live, 48′ Colina – Tomas Greig 0:0.75 (0-0), 1 asian, 1.83, 10, bet365, 2-0, +8.3,
Soccer, 05/11 01:00, MEX1, Pre-Match, Lobos – Monterrey, over 2.75, 1.89, 20, pinnacle, 2-1, +8.9,
Soccer, 05/11 21:30, URU1, Live, 6′ El Tanque Sisley – Fenix 0.25:0 (0-0), 1 asian, 1.93, 20, bet365, 1-1, +9.25,
Soccer, 05/11 22:00, CHI2, Live, 7′ Nublense – Puerto Montt 0:0.75 (0-0), 1 asian, 1.83, 20, bet365, 2-0, +16.6,
Soccer, 05/11 22:00, CHI2, Live, 22′ Fernandez Vial – Lautaro de Buin 0:0.75 (0-0), 1 asian, 1.88, 15, bet365, 0-0, -15,
Soccer, 05/11 22:00, CHI2, Live, 73′ Deportes Valdivia – Deportes Copiapo (0-1), over 1.75, 1.78, 35, bet365, 0-2, +13.5,
Soccer, 05/11 23:00, COL1, Live, 71′ Cortulua – Atletico Huila (1-1), over 2.5, 1.85, 20, bet365, 2-1, +17,
Soccer, 08/11 21:30, URU2, Live, 45′ Huracan – Torque 0.25:0 (1-1), 2 asian, 1.73, 20, bet365, 2-3, +14.5,
Soccer, 08/11 22:00, URU1, Live, 75′ Montevideo Wanderers – Cerro (2-2), over 4.5, 1.93, 20, bet365, 2-3, +18.5,
Soccer, 08/11 22:00, URU1, Live, 7′ Montevideo Wanderers – Cerro (0-0), over 2.5, 2.00, 20, bet365, 2-3, +20,
Soccer, 11/11 22:00, CHI2, Live, 7′ Santiago Morning – Cobresal (0-0), over 2.25, 1.80, 20, bet365, 0-3, +16,
Soccer, 12/11 17:00, ESP2, Pre-Match, Tarragona – Oviedo 0:0, 1 asian, 1.78, 20, pinnacle, 1-2, -20,
